pmax_AM,pmax_LM,sum_negll
0.1,0.36,232.049
0.1,0.37,229.453
0.1,0.38,229.179
0.1,0.39,229.611
0.1,0.4,229.47
0.1,0.41,228.711
0.1,0.42,229.003
0.1,0.43,228.92
0.1,0.44,230.624
0.1,0.45,229.141
0.1,0.46,228.942
0.1,0.47,228.838
0.1,0.48,228.683
0.1,0.49,228.693
0.1,0.5,229.017
0.1,0.51,229.613
0.1,0.52,228.761
0.1,0.53,229.039
0.1,0.54,227.998
0.1,0.55,230.032
0.1,0.56,229.079
0.1,0.57,229.425
0.1,0.58,229.543
0.1,0.59,228.642
0.1,0.6,229.51
0.1,0.61,230.273
0.1,0.62,229.642
0.1,0.63,229.852
0.1,0.64,227.977
0.1,0.65,229.76
0.1,0.66,228.008
0.1,0.67,228.749
0.1,0.68,228.614
0.1,0.69,228.743
0.1,0.7,230.042
0.1,0.71,228.762
0.1,0.72,229.13
0.1,0.73,230.142
0.1,0.74,230.469
0.1,0.75,229.377
0.1,0.76,228.704
0.1,0.77,228.468
0.1,0.78,229.622
0.1,0.79,229.526
0.1,0.8,228.714
0.1,0.81,230.094
0.1,0.82,227.987
0.1,0.83,229.957
0.1,0.84,229.77
0.1,0.85,229.899
0.1,0.86,228.119
0.1,0.87,228.425
0.1,0.88,228.879
0.1,0.89,229.377
0.1,0.9,230.032
0.1,0.91,229.045
0.1,0.92,229.441
0.1,0.93,229.617
0.1,0.94,229.742
0.1,0.95,228.597
0.1,0.96,228.989
0.1,0.97,229.689
0.1,0.98,230.344
0.1,0.99,230.113
0.11,0,252.261
0.11,0.01,253.048
0.11,0.02,257.371
0.11,0.03,268.723
0.11,0.04,272.496
0.11,0.05,269.651
0.11,0.06,291.566
0.11,0.07,288.765
0.11,0.08,243.478
0.11,0.09,234.486
0.11,0.1,216.636
0.11,0.11,208.009
0.11,0.12,211.603
0.11,0.13,207.119
0.11,0.14,204.076
0.11,0.15,229.711
0.11,0.16,215.095
0.11,0.17,217.96
0.11,0.18,228.44
0.11,0.19,229.595
0.11,0.2,230.285
0.11,0.21,228.308
0.11,0.22,230.065
0.11,0.23,228.83
0.11,0.24,229.588
0.11,0.25,229.705
0.11,0.26,228.997
0.11,0.27,229.485
0.11,0.28,230.248
0.11,0.29,229.962
0.11,0.3,229.923
0.11,0.31,227.998
0.11,0.32,229.879
0.11,0.33,229.252
0.11,0.34,229.754
0.11,0.35,230.05
0.11,0.36,230.192
0.11,0.37,228.87
0.11,0.38,229.628
0.11,0.39,228.446
0.11,0.4,229.61
0.11,0.41,228.48
0.11,0.42,229.236
0.11,0.43,228.179
0.11,0.44,230.043
0.11,0.45,229.758
0.11,0.46,229.313
0.11,0.47,230.387
0.11,0.48,229.459
0.11,0.49,229.175
0.11,0.5,230.556
0.11,0.51,228.559
0.11,0.52,229.758
0.11,0.53,230.043
0.11,0.54,229.431
0.11,0.55,230.548
0.11,0.56,229.543
0.11,0.57,230.284
0.11,0.58,229.179
0.11,0.59,227.977
0.11,0.6,231.43
0.11,0.61,229.131
0.11,0.62,228.906
0.11,0.63,229.805
0.11,0.64,228.706
0.11,0.65,228.223
0.11,0.66,228.347
0.11,0.67,229.594
0.11,0.68,228.92
0.11,0.69,228.775
0.11,0.7,228.995
0.11,0.71,229.025
0.11,0.72,229.061
0.11,0.73,228.945
0.11,0.74,229.626
0.11,0.75,228.895
